storeId,lat,lng,phone,email,opening_1_name,opening_1_hour,opening_2_name,opening_2_hour,opening_3_name,opening_3_hour,opening_4_name,opening_4_hour,opening_5_name,opening_5_hour,opening_6_name,opening_6_hour,opening_7_name,opening_7_hour,name,zipcode,address_1,city,ShopType
187,50.287,2.808,03 74 09 82 46,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,ARRAS (Beaurains),62217,2 rue Mathieu Orfila,Arras,Agence K
824,45.7448,4.9315,04 28 29 90 47,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,VAULX-EN-VELIN (7 CHEMINS),69120,111 rte de Genas,VAULX-EN-VELIN,Agence K
Q267,48.3364,4.0237,03 25 42 71 80,agence0267@kiloutou.fr,Lundi,07:30-12:00 & 13:30-17:30,Mardi,07:30-12:00 & 13:30-17:30,Mercredi,07:30-12:00 & 13:30-17:30,Jeudi,07:30-12:00 & 13:30-17:30,Vendredi,07:30-12:00 & 13:30-17:30,Samedi,07:30-12:00 & 13:30-17:30,Dimanche,07:30-12:00 & 13:30-17:30,AGENCE ELEVATION DE BARBEREY (TROYES),10600,21 Rue des Valères,BARBEREY ST SULPICE,Agence K
827,45.7862,4.8992,04 78 82 02 15,agence0827@kiloutou.fr,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,VILLEURBANNE,69100,8 rue Louis Maynard,VILLEURBANNE,Agence K
416,45.7636,4.936,04 37 42 19 00,agence0416@kiloutou.fr,Lundi,06:30-12:00 & 13:30-18:30,Mardi,06:30-12:00 & 13:30-18:30,Mercredi,06:30-12:00 & 13:30-18:30,Jeudi,06:30-12:00 & 13:30-18:30,Vendredi,06:30-12:00 & 13:30-18:30,Samedi,06:30-12:00 & 13:30-18:30,Dimanche,06:30-12:00 & 13:30-18:30,VAULX-EN-VELIN - La Plateforme,69120,Grosso - Roosvelt,VAULX-EN-VELIN,Agence K
432,46.2145,5.204,04 28 29 91 33,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,BOURG-EN-BRESSE (Saint-Denis-lès-Bourg),01000,47 rue de la Montbéliarde Angle avenue de Bresse,ST DENIS LES BOURG,Agence Généraliste Terrassement Elévation
810,45.8277,4.9935,04 28 29 93 56,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,BEYNOST,01700,allée des petites Combes ZI des Baterses,BEYNOST,Agence Généraliste Terrassement Elévation
808,46.1667,5.195,00 00 00 00 00,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,BOURG EN BRESSE TP (PERONNAS),01960,520 rue Lavoisier,PERONNAS,Agence Terrassement
561,43.5961,7.0886,04 28 29 99 03,nomail@kilotou.com,Lundi,07:00-12:00 & 13:30-18:00,Mardi,07:00-12:00 & 13:30-18:00,Mercredi,07:00-12:00 & 13:30-18:00,Jeudi,07:00-12:00 & 13:30-18:00,Vendredi,07:00-12:00 & 13:30-18:00,Samedi,07:00-12:00 & 13:30-18:00,Dimanche,07:00-12:00 & 13:30-18:00,ANTIBES,06160,348 chemin des Terriers,ANTIBES,Agence Généraliste
Q144,49.787,4.6767,00 00 00 00 00,nomail@kilotou.com,Lundi,08:00-12:00 & 13:30-17:00,Mardi,08:00-12:00 & 13:30-17:00,Mercredi,08:00-12:00 & 13:30-17:00,Jeudi,08:00-12:00 & 13:30-17:00,Vendredi,08:00-12:00 & 13:30-17:00,Samedi,08:00-12:00 & 13:30-17:00,Dimanche,08:00-12:00 & 13:30-17:00,AGENCE ELEVATION DE CHARLEVILLE MEZIERES,08000,8 Rue du Commerce,WARCQ,Quai Elévation Terrassement
